Wall time,Step,Value
1741886090.7774634,1000,-1.0
1741886096.137644,8000,-3.4285714626312256
1741886097.0291214,9000,-12.75
1741886102.191719,16000,-0.1666666716337204
1741886103.066027,17000,-12.777777671813965
1741886108.1818337,24000,-36.0
1741886109.0842574,25000,-15.0
1741886109.8618884,26000,4.0
1741886114.1279254,32000,-0.5
1741886114.99387,33000,1.0
1741886115.7578497,34000,0.0
1741886120.059597,40000,-24.5
1741886120.8698487,41000,-1.0
1741886121.476139,42000,-0.75
1741886125.9895813,48000,-1.5
1741886126.831985,49000,-1.125
1741886127.5964913,50000,-83.0
1741886133.0294952,57000,-12.0
1741886133.8232472,58000,-6.666666507720947
1741886138.8529491,65000,-8.318181991577148
1741886139.579765,66000,-0.5
1741886144.7603066,73000,-17.571428298950195
1741886145.5962553,74000,-8.0
1741886150.8738391,81000,-23.25
1741886151.7196734,82000,-0.5
1741886152.37365,83000,3.5
1741886156.7634199,89000,-21.33333396911621
1741886157.508399,90000,1.0
1741886158.2558606,91000,-4.0
1741886162.6871293,97000,-0.625
1741886163.4342663,98000,1.100000023841858
1741886164.1043692,99000,0.875
1741886168.6112268,105000,0.0
1741886169.318969,106000,-0.1666666716337204
1741886170.0645096,107000,-5.666666507720947
1741886174.523072,113000,0.0
1741886175.2885234,114000,-0.5
1741886176.0847726,115000,-0.25
1741886176.7328892,116000,4.5
1741886177.5132053,117000,2.1666667461395264
1741886180.5106568,121000,-6.75
1741886181.2715154,122000,0.5
1741886182.0519032,123000,-25.625
1741886182.8125687,124000,-13.5
1741886183.5444486,125000,-47.5
1741886184.3107224,126000,-1.0
1741886186.5338967,129000,-57.0
1741886187.221289,130000,0.0
1741886188.0003507,131000,-7.25
1741886188.7352018,132000,-62.0
1741886189.4818146,133000,-34.16666793823242
1741886190.2416549,134000,-22.5
1741886193.3012428,138000,-29.5
1741886194.1095738,139000,0.0
1741886195.6148841,141000,-19.25
1741886196.4023933,142000,-0.5
1741886199.335186,146000,-6.5
1741886200.1412613,147000,1.3333333730697632
1741886201.6578631,149000,-0.3333333432674408
1741886202.4220648,150000,-5.5
1741886205.3666189,154000,-38.25
1741886206.1621702,155000,-43.33333206176758
1741886207.8755436,157000,-25.5
1741886208.6228032,158000,0.0
1741886211.7038052,162000,1.3333333730697632
1741886212.447317,163000,-42.16666793823242
1741886213.898312,165000,-0.75
1741886214.6426506,166000,0.0
1741886217.5456665,170000,0.0
1741886218.2731447,171000,-0.1666666716337204
1741886219.726493,173000,-0.25
1741886220.503877,174000,-0.5
1741886223.4122798,178000,-30.5
1741886224.1693912,179000,-22.33333396911621
1741886225.5971353,181000,-18.5
1741886226.3563359,182000,-39.0
1741886227.0915086,183000,-1.0
1741886229.2609553,186000,-0.25
1741886230.0700626,187000,1.125
1741886231.5298743,189000,-1.8333333730697632
1741886233.022902,191000,-3.5
1741886235.1644046,194000,-19.0
1741886236.0180843,195000,-11.699999809265137
1741886237.672856,197000,0.0
1741886238.4358687,198000,2.5
1741886239.2132657,199000,-0.5
1741886239.9934952,200000,-1.0
1741886241.5179849,202000,-4.5
1741886242.354285,203000,-18.25
1741886243.863675,205000,-0.5
1741886245.3297744,207000,0.0
1741886246.09063,208000,-0.5
1741886248.2698197,211000,-18.0
1741886249.7480493,213000,-0.5
1741886251.2297308,215000,1.5
1741886251.8982642,216000,-0.5
1741886254.146039,219000,-13.0
1741886255.6259153,221000,-0.5
1741886257.1257555,223000,-0.5
1741886257.7802227,224000,-70.0
1741886259.9992476,227000,-0.9166666865348816
1741886260.7619216,228000,-0.5
1741886261.5569623,229000,-76.0
1741886263.1393614,231000,-71.0
1741886263.8107717,232000,1.25
1741886266.121193,235000,-3.5999999046325684
1741886266.8698633,236000,-0.5
1741886267.6320481,237000,-19.5
1741886269.7764015,240000,-53.25
1741886272.0068583,243000,-28.33333396911621
1741886272.7701683,244000,0.0
1741886273.5147605,245000,-0.75
1741886275.652879,248000,-0.5
1741886277.9345343,251000,-18.25
1741886278.843046,252000,3.0
1741886279.6225817,253000,-0.5
1741886281.8369057,256000,-38.25
1741886284.117104,259000,-0.1666666716337204
1741886284.8850307,260000,-1.75
1741886285.649242,261000,-2.5
1741886286.4130757,262000,3.5
1741886287.881461,264000,-10.5
1741886290.0155337,267000,-4.833333492279053
1741886290.7638154,268000,-0.6666666865348816
1741886292.265575,270000,0.0
1741886293.8219059,272000,-26.75
1741886294.5778646,273000,-1.0
1741886295.9858572,275000,-5.0
1741886296.7382202,276000,-9.125
1741886298.2428496,278000,0.0
1741886299.7255204,280000,2.5
1741886300.3416278,281000,-0.8333333134651184
1741886301.8597627,283000,-7.0
1741886302.59392,284000,-15.666666984558105
1741886304.0995924,286000,-1.0
1741886305.6151628,288000,-29.5
1741886306.3336987,289000,0.5
1741886308.5908933,292000,-40.0
1741886310.0579886,294000,0.0
1741886311.5414672,296000,0.0
1741886312.228115,297000,-20.25
1741886314.5065098,300000,-3.625
1741886316.0653934,302000,-47.25
1741886317.5574,304000,-48.5
1741886318.211396,305000,0.0
1741886320.6103246,308000,-8.5
1741886322.1416762,310000,-3.0
1741886323.6594722,312000,0.0
1741886324.3937614,313000,-7.0
1741886324.998667,314000,-1.0
1741886325.7482028,315000,-1.0
1741886326.5236688,316000,-3.375
1741886328.1002984,318000,0.0
1741886329.4758902,320000,-1.0
1741886330.2658446,321000,-0.5
1741886331.823719,323000,-0.5
1741886332.6037917,324000,-24.125
1741886334.1170502,326000,-0.5
1741886335.571017,328000,0.0
1741886336.3368826,329000,-0.5
1741886337.8054736,331000,-38.5
1741886338.5390408,332000,-33.0
1741886339.984146,334000,-30.75
1741886341.479584,336000,-40.0
1741886342.2456782,337000,-20.5
1741886342.9735467,338000,4.0
1741886343.732253,339000,-72.5
1741886344.482188,340000,-17.08333396911621
1741886345.229219,341000,3.0
1741886345.9790556,342000,0.0
1741886346.7403066,343000,-1.0
1741886347.4875638,344000,-23.5
1741886349.0276415,346000,-4.0
1741886349.7175229,347000,-35.0
1741886350.482245,348000,-30.100000381469727
1741886351.1675873,349000,3.0
1741886352.7011926,351000,-0.5
1741886353.419903,352000,0.0
1741886354.1528919,353000,-27.0
1741886354.908713,354000,-2.0
1741886356.4536717,356000,-1.6666666269302368
1741886357.124423,357000,-27.33333396911621
1741886359.4459379,360000,-2.0
1741886360.2096987,361000,0.0
1741886360.9782429,362000,-77.5
1741886362.465539,364000,-1.5
1741886363.1345909,365000,-12.666666984558105
1741886363.866387,366000,5.0
1741886365.3501842,368000,0.0
1741886366.0992637,369000,0.0
1741886366.864835,370000,-0.5
1741886368.3621814,372000,-8.0
1741886368.9723065,373000,-2.0
1741886369.7672904,374000,-4.5
1741886371.2659767,376000,-56.0
1741886372.0175295,377000,-48.5
1741886372.67232,378000,-0.5
1741886374.1868095,380000,-0.5
1741886374.8623445,381000,-30.5
1741886375.6529598,382000,-39.5
1741886378.6150568,386000,-0.25
1741886380.0207195,388000,-7.166666507720947
1741886380.7875504,389000,-0.3333333432674408
1741886381.6622376,390000,0.0
1741886384.4651997,394000,-63.0
1741886385.9681842,396000,-20.0
1741886386.730487,397000,-3.8333332538604736
1741886387.4832137,398000,-17.83333396911621
1741886390.4053717,402000,-39.0
1741886391.9621472,404000,-0.5
1741886392.6899786,405000,-39.66666793823242
1741886393.4848335,406000,-9.833333015441895
1741886396.4919763,410000,0.0
1741886398.0089345,412000,-34.0
1741886398.7593277,413000,-0.5
1741886399.4787927,414000,-10.875
1741886402.6267207,418000,0.0
1741886404.1333296,420000,-49.5
1741886404.8677619,421000,-36.16666793823242
1741886405.5840774,422000,-2.6666667461395264
1741886408.5269902,426000,-16.5
1741886410.0052907,428000,-5.5
1741886410.7279081,429000,0.0
1741886411.5010264,430000,-4.75
1741886412.245057,431000,-1.0
1741886414.4996235,434000,-74.5
1741886415.9335883,436000,-3.5
1741886416.6094894,437000,-12.833333015441895
1741886417.3674657,438000,0.0
1741886418.13143,439000,0.0
1741886420.3755264,442000,-0.5
1741886421.8928034,444000,-3.0
1741886422.6303616,445000,-3.0
1741886423.3204668,446000,-59.5
1741886424.081089,447000,-18.5
1741886426.335063,450000,-0.5
1741886427.1276522,451000,-1.0
1741886427.861568,452000,-7.5
1741886428.4972405,453000,-19.66666603088379
1741886429.2634957,454000,-1.0
1741886430.040727,455000,-6.0
1741886432.253457,458000,-2.3333332538604736
1741886433.0134213,459000,-0.5
1741886433.6851816,460000,0.0
1741886435.1654434,462000,0.0
1741886435.92916,463000,-2.5
1741886436.6991959,464000,4.5
1741886438.1803234,466000,-27.0
1741886438.943536,467000,1.25
1741886439.8202162,468000,-0.75
1741886441.2908096,470000,0.0
1741886442.1010344,471000,-32.16666793823242
1741886442.819944,472000,-21.5
1741886444.9789624,475000,0.0
1741886445.7440534,476000,-2.5
1741886447.163011,478000,-2.5
1741886447.9177606,479000,1.3333333730697632
1741886448.5241394,480000,-0.5
1741886450.8948293,483000,-18.0
1741886451.6648095,484000,-0.5
1741886452.4244561,485000,4.5
1741886453.172853,486000,-0.25
1741886453.9060311,487000,-32.5
1741886454.6525047,488000,-26.66666603088379
1741886456.8730884,491000,-33.0
1741886458.324279,493000,-10.5
1741886459.1091988,494000,-1.75
1741886459.8917797,495000,0.0
1741886460.6820831,496000,-1.5
1741886462.939965,499000,-0.25
